type,currency,condition,formula,,,,,
consumer-crypto,USD,range,"if amount is between 1.00 - 74.99 USD, then 2.2%",,,,,
consumer-crypto,USD,range,"if amount is between 75.00 – 200.00 USD, then 2%",,,,,
consumer-crypto,USD,range,"if amount is between 200.01 – 1000.00 USD, then 1.8%",,,,,
consumer-crypto,USD,range,"if amount is > 1000.01 USD, then 1.5%",,,,,
consumer-donations,AUD,Donate-Button,2.89% + 0.59 AUD,,,,,
consumer-donations,BRL,Donate-Button,2.89% + 2.90 BRL,,,,,
consumer-donations,CAD,Donate-Button,2.89% + 0.59 CAD,,,,,
consumer-donations,CZK,Donate-Button,2.89% + 9.00 CZK,,,,,
consumer-donations,DKK,Donate-Button,2.89% + 2.90 DKK,,,,,
consumer-donations,EUR,Donate-Button,2.89% + 0.39 EUR,,,,,
consumer-donations,HKD,Donate-Button,2.89% + 3.79 HKD,,,,,
consumer-donations,HUF,Donate-Button,2.89% + 149.00 HUF,,,,,
consumer-donations,ILS,Donate-Button,2.89% + 1.60 ILS,,,,,
consumer-donations,JPY,Donate-Button,2.89% + 49.00 JPY,,,,,
consumer-donations,MYR,Donate-Button,2.89% + 2.00 MYR,,,,,
consumer-donations,MXN,Donate-Button,2.89% + 9.00 MXN,,,,,
consumer-donations,TWD,Donate-Button,2.89% + 14.00 TWD,,,,,
consumer-donations,NZD,Donate-Button,2.89% + 0.69 NZD,,,,,
consumer-donations,NOK,Donate-Button,2.89% + 3.90 NOK,,,,,
consumer-donations,PHP,Donate-Button,2.89% + 25.00 PHP,,,,,
consumer-donations,PLN,Donate-Button,2.89% + 1.89 PLN,,,,,
consumer-donations,RUB,Donate-Button,2.89% + 39.00 RUB,,,,,
consumer-donations,SGD,Donate-Button,2.89% + 0.69 SGD,,,,,
consumer-donations,SEK,Donate-Button,2.89% + 4.09 SEK,,,,,
consumer-donations,CHF,Donate-Button,2.89% + 0.49 CHF,,,,,
consumer-donations,THB,Donate-Button,2.89% + 15.00 THB,,,,,
consumer-donations,GBP,Donate-Button,2.89% + 0.39 GBP,,,,,
consumer-donations,USD,Donate-Button,2.89% + 0.49 USD,,,,,
consumer-donations,AUD,Paypal-Checkout,2.89% + 0.59 AUD,,,,,
consumer-donations,BRL,Paypal-Checkout,2.89% + 2.90 BRL,,,,,
consumer-donations,CAD,Paypal-Checkout,2.89% + 0.59 CAD,,,,,
consumer-donations,CZK,Paypal-Checkout,2.89% + 9.00 CZK,,,,,
consumer-donations,DKK,Paypal-Checkout,2.89% + 2.90 DKK,,,,,
consumer-donations,EUR,Paypal-Checkout,2.89% + 0.39 EUR,,,,,
consumer-donations,HKD,Paypal-Checkout,2.89% + 3.79 HKD,,,,,
consumer-donations,HUF,Paypal-Checkout,2.89% + 149.00 HUF,,,,,
consumer-donations,ILS,Paypal-Checkout,2.89% + 1.60 ILS,,,,,
consumer-donations,JPY,Paypal-Checkout,2.89% + 49.00 JPY,,,,,
consumer-donations,MYR,Paypal-Checkout,2.89% + 2.00 MYR,,,,,
consumer-donations,MXN,Paypal-Checkout,2.89% + 9.00 MXN,,,,,
consumer-donations,TWD,Paypal-Checkout,2.89% + 14.00 TWD,,,,,
consumer-donations,NZD,Paypal-Checkout,2.89% + 0.69 NZD,,,,,
consumer-donations,NOK,Paypal-Checkout,2.89% + 3.90 NOK,,,,,
consumer-donations,PHP,Paypal-Checkout,2.89% + 25.00 PHP,,,,,
consumer-donations,PLN,Paypal-Checkout,2.89% + 1.89 PLN,,,,,
consumer-donations,RUB,Paypal-Checkout,2.89% + 39.00 RUB,,,,,
consumer-donations,SGD,Paypal-Checkout,2.89% + 0.69 SGD,,,,,
consumer-donations,SEK,Paypal-Checkout,2.89% + 4.09 SEK,,,,,
consumer-donations,CHF,Paypal-Checkout,2.89% + 0.49 CHF,,,,,
consumer-donations,THB,Paypal-Checkout,2.89% + 15.00 THB,,,,,
consumer-donations,GBP,Paypal-Checkout,2.89% + 0.39 GBP,,,,,
consumer-donations,USD,Paypal-Checkout,2.89% + 0.49 USD,,,,,
consumer-international-donations,AUD,Donate-Button,2.89% + 1.50% + 0.59 AUD,,,,,
consumer-international-donations,BRL,Donate-Button,2.89% + 1.50% + 2.90 BRL,,,,,
consumer-international-donations,CAD,Donate-Button,2.89% + 1.50% +  0.59 CAD,,,,,
consumer-international-donations,CZK,Donate-Button,2.89% + 1.50% +  9.00 CZK,,,,,
consumer-international-donations,DKK,Donate-Button,2.89% + 1.50% +  2.90 DKK,,,,,
consumer-international-donations,EUR,Donate-Button,2.89% + 1.50% +  0.39 EUR,,,,,
consumer-international-donations,HKD,Donate-Button,2.89% + 1.50% +  3.79 HKD,,,,,
consumer-international-donations,HUF,Donate-Button,2.89% + 1.50% +  149.00 HUF,,,,,
consumer-international-donations,ILS,Donate-Button,2.89% + 1.50% +  1.60 ILS,,,,,
consumer-international-donations,JPY,Donate-Button,2.89% + 1.50% +  49.00 JPY,,,,,
consumer-international-donations,MYR,Donate-Button,2.89% + 1.50% +  2.00 MYR,,,,,
consumer-international-donations,MXN,Donate-Button,2.89% + 1.50% +  9.00 MXN,,,,,
consumer-international-donations,TWD,Donate-Button,2.89% + 1.50% +  14.00 TWD,,,,,
consumer-international-donations,NZD,Donate-Button,2.89% + 1.50% +  0.69 NZD,,,,,
consumer-international-donations,NOK,Donate-Button,2.89% + 1.50% +  3.90 NOK,,,,,
consumer-international-donations,PHP,Donate-Button,2.89% + 1.50% +  25.00 PHP,,,,,
consumer-international-donations,PLN,Donate-Button,2.89% + 1.50% +  1.89 PLN,,,,,
consumer-international-donations,RUB,Donate-Button,2.89% + 1.50% +  39.00 RUB,,,,,
consumer-international-donations,SGD,Donate-Button,2.89% + 1.50% +  0.69 SGD,,,,,
consumer-international-donations,SEK,Donate-Button,2.89% + 1.50% +  4.09 SEK,,,,,
consumer-international-donations,CHF,Donate-Button,2.89% + 1.50% +  0.49 CHF,,,,,
consumer-international-donations,THB,Donate-Button,2.89% + 1.50% +  15.00 THB,,,,,
consumer-international-donations,GBP,Donate-Button,2.89% + 1.50% +  0.39 GBP,,,,,
consumer-international-donations,USD,Donate-Button,2.89% + 1.50% +  0.49 USD,,,,,
consumer-international-donations,AUD,Paypal-Checkout,2.89% + 1.50% + 0.59 AUD,,,,,
consumer-international-donations,BRL,Paypal-Checkout,2.89% + 1.50% + 2.90 BRL,,,,,
consumer-international-donations,CAD,Paypal-Checkout,2.89% + 1.50% +  0.59 CAD,,,,,
