type,kind,currency,condition,formula
consumer-crypto,consumer,USD,range1,"if amount is between 1.00 - 74.99 USD, then 2.2%"
consumer-crypto,consumer,USD,range2,"if amount is between 75.00 – 200.00 USD, then 2%"
consumer-crypto,consumer,USD,range3,"if amount is between 200.01 – 1000.00 USD, then 1.8%"
consumer-crypto,consumer,USD,range4,"if amount is > 1000.01 USD, then 1.5%"
consumer-donations,consumer,AUD,Donate-Button,2.89% + 0.59 AUD
consumer-donations,consumer,BRL,Donate-Button,2.89% + 2.90 BRL
consumer-donations,consumer,CAD,Donate-Button,2.89% + 0.59 CAD
consumer-donations,consumer,CZK,Donate-Button,2.89% + 9.00 CZK
consumer-donations,consumer,DKK,Donate-Button,2.89% + 2.90 DKK
consumer-donations,consumer,EUR,Donate-Button,2.89% + 0.39 EUR
consumer-donations,consumer,HKD,Donate-Button,2.89% + 3.79 HKD
consumer-donations,consumer,HUF,Donate-Button,2.89% + 149.00 HUF
consumer-donations,consumer,ILS,Donate-Button,2.89% + 1.60 ILS
consumer-donations,consumer,JPY,Donate-Button,2.89% + 49.00 JPY
consumer-donations,consumer,MYR,Donate-Button,2.89% + 2.00 MYR
consumer-donations,consumer,MXN,Donate-Button,2.89% + 9.00 MXN
consumer-donations,consumer,TWD,Donate-Button,2.89% + 14.00 TWD
consumer-donations,consumer,NZD,Donate-Button,2.89% + 0.69 NZD
consumer-donations,consumer,NOK,Donate-Button,2.89% + 3.90 NOK
consumer-donations,consumer,PHP,Donate-Button,2.89% + 25.00 PHP
consumer-donations,consumer,PLN,Donate-Button,2.89% + 1.89 PLN
consumer-donations,consumer,RUB,Donate-Button,2.89% + 39.00 RUB
consumer-donations,consumer,SGD,Donate-Button,2.89% + 0.69 SGD
consumer-donations,consumer,SEK,Donate-Button,2.89% + 4.09 SEK
consumer-donations,consumer,CHF,Donate-Button,2.89% + 0.49 CHF
consumer-donations,consumer,THB,Donate-Button,2.89% + 15.00 THB
consumer-donations,consumer,GBP,Donate-Button,2.89% + 0.39 GBP
consumer-donations,consumer,USD,Donate-Button,2.89% + 0.49 USD
consumer-donations,consumer,AUD,Paypal-Checkout,2.89% + 0.59 AUD
consumer-donations,consumer,BRL,Paypal-Checkout,2.89% + 2.90 BRL
consumer-donations,consumer,CAD,Paypal-Checkout,2.89% + 0.59 CAD
consumer-donations,consumer,CZK,Paypal-Checkout,2.89% + 9.00 CZK
consumer-donations,consumer,DKK,Paypal-Checkout,2.89% + 2.90 DKK
consumer-donations,consumer,EUR,Paypal-Checkout,2.89% + 0.39 EUR
consumer-donations,consumer,HKD,Paypal-Checkout,2.89% + 3.79 HKD
consumer-donations,consumer,HUF,Paypal-Checkout,2.89% + 149.00 HUF
consumer-donations,consumer,ILS,Paypal-Checkout,2.89% + 1.60 ILS
consumer-donations,consumer,JPY,Paypal-Checkout,2.89% + 49.00 JPY
consumer-donations,consumer,MYR,Paypal-Checkout,2.89% + 2.00 MYR
consumer-donations,consumer,MXN,Paypal-Checkout,2.89% + 9.00 MXN
consumer-donations,consumer,TWD,Paypal-Checkout,2.89% + 14.00 TWD
consumer-donations,consumer,NZD,Paypal-Checkout,2.89% + 0.69 NZD
