Weight-Not-Over(lbs.),Single-Piece
1,4.25
2,4.96
3,5.67
4,6.38
5,7.10
6,7.81
7,8.52
8,9.23
9,9.95
10,10.66
11,11.37
12,12.08
13,12.80
14,13.51
15,14.22
16,14.93
17,15.65
18,16.36
19,17.07
20,17.78
21,18.50
22,19.21
23,19.92
24,20.63
25,21.35
26,22.06
27,22.77
28,23.48
29,24.20
30,24.91
31,25.62
32,26.33
33,27.05
34,27.76
35,28.47
36,29.18
37,29.90
38,30.61
39,31.32
40,32.03
41,32.75
42,33.46
43,34.17
44,34.88
45,35.60
46,36.31
47,37.02
48,37.73
49,38.45
50,39.16
51,39.87
52,40.58
53,41.30
54,42.01
55,42.72
56,43.43
57,44.15
58,44.86
59,45.57
60,46.28
61,47.00
62,47.71
63,48.42
64,49.13
65,49.85
66,50.56
67,51.27
68,51.98
69,52.70
70,53.41

